id;title;description;release_year;age_certification;runtime;genre;countries;imdb_score;imdb_votes;cast
tm135083;Cairo Station;Qinawi, a physically challenged peddler who makes his living selling newspapers in the central Cairo train station, is obsessed by Hanuma, an attractive young woman who sells drinks. While she jokes with him about a possible relationship, she is actually in love with Abu Siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.;1958;;77;drama;EG;7.5;4878.0;Farid Shawqi, Hind Rostom, Youssef Chahine, Hassan el Baroudi, Abdel Aziz Khalil, Said Khalil, Farouq ElDemerdash, Ahmed Abaza, Safia Sarwat, Asaad Kellada, Sherine, Soheir, Esmat Mahmoud, Nawal Morsi, Gharib Moawad, Mohamed Mazhar, Galal Issa, Mahrous El Garhi, Ahmed Tantawi, S. Abdel Aziz, Nadia Lotfi, Hussein Ismail, Naima Wasfi, Abdel Ghani ElNagdi, Abdel Hamid Badawi, Hanaa Abdel Fattah, Lotfy ElHakim, Sayed ElAraby, Youssef Chahine
tm69997;Richard Pryor: Live in Concert;Richard Pryor delivers monologues on race, sex, family and his favorite target—himself, live at the Terrace Theatre in Long Beach, California.;1979;R;78;comedy;US;8.1;5141.0;Richard Pryor, Jennifer Lee Pryor, Jeff Margolis
tm16812;Bandie;Maharaj Brajbhan lives a wealthy lifestyle in Bharatpur, India along with his wife, Badi Rani, but have been unable to conceive for Bharatpur, and have no choice but to leave it's reigns with Brajban's widowed cousin, Vikram, and his son, Kanchan. When Vikram finds out that Badi Rani is pregnant, he plots to first sully her character by having her abducted, then shunned by the Maharaj, and then decides to have her killed. But her killer has a change of heart and lets her live. She gives birth to a son, names him Bhola, and starts living a simple lifestyle in a Mandir with the help of it's Poojary. Years later Vikram finds out she is alive and kills her, as well the Poojary and the Poojary's son. Bhola witnesses this, manages to escape, starts to live with a poor widow, grows up uneducated, and makes a living through crime.;1978;;141;drama;IN;4.8;37.0;Uttam Kumar, Sulakshana Pandit, Utpal Dutt, Nandita Thakur, Satyendra Kapoor, Indrani Mukherjee, Prema Narayan, Amjad Khan, Bindu, Iftekhar, Alo Sarkar
tm75975;Prince;To better himself, a spoiled prince temporarily assumes a commoner's identity. But he soon learns his palace has been gifted to his father's new wife.;1969;;152;romance;IN;6.8;199.0;Shammi Kapoor, Vyjayanthimala, Rajendra Nath, Helen, Parveen Choudhary, Ajit Khan, D.K. Sapru, Leela Mishra, David Abraham Cheulkar, Asit Sen, Rashid Khan, Sunder, Sudhir, Leela Chitnis, Lekh Tandon
tm156453;FTA;"A documentary about a political troupe headed by actors Jane Fonda and Donald Sutherland which traveled to towns near military bases in the US in the early 1970s. The group put on shows called ""F.T.A."", which stood for ""F**k the Army"", and was aimed at convincing soldiers to voice their opposition to the Vietnam War, which was raging at the time. Various singers, actors and other entertainers performed antiwar songs and skits during the show.";1972;R;97;comedy;US;6.4;433.0;Jane Fonda, Donald Sutherland, Pamela Donegan, Len Chandler, Michael Alaimo, Holly Near, Paul Mooney, Rita Martinson, Peter Boyle, Steve Jaffe, Yale Zimmerman, Francine Parker
tm89386;Hitler: A Career;A keen chronicle of the unlikely rise to power of Adolf Hitler (1889-1945) and a dissection of the Third Reich (1933-1945), but also an analysis of mass psychology and how the desperate crowd can be deceived and shepherded to the slaughterhouse.;1977;PG;150;documentation;DE;7.5;2718.0;Gert Westphal, Joachim Fest
tm71909;Amrapali;After a failed conquest, Emperor Ajaatshatru pretends to be a soldier in the enemy's army to weaken them from the inside. However, he falls in love with Amrapali by faking his identity.;1966;;120;fantasy;IN;6.7;251.0;Vyjayanthimala, Sunil Dutt, Prem Nath, Bipin Gupta, Gajanan Jagirdar, K.N. Singh, Ruby Myers, Narendra Nath, Baburao Pendharkar, Mridula Rani, Lekh Tandon
tm100027;Alibaba Aur 40 Chor;The movie is based on the story of Ali Baba and the Forty Thieves, from the One Thousand and One Nights or Arabian Tales. The role of Ali Baba is played by Dharmendra and Hema Malini play Morjina.;1980;;138;drama;IN, SU;6.2;599.0;Dharmendra, Hema Malini, Zeenat Aman, Prem Chopra, Zakir Mukhamedzhanov, Sofiko Chiaureli, Yelena Sanayeva, Frunzik Mkrtchyan, Maya-Gozel Aimedova, Umesh Mehra, Latif Faiziyev
tm107372;Manoranjan;Havaldar Ratan is a rookie at the local police station, and is assigned duty on foot patrol on Manoranjan Street, a notorious red-light area, on the very first day of his job. He strikes up a conversation with a good-looking young woman named Nisha, and tells her that there is a possible violation of Suppression of Immoral Trafficking Act taking place on this street. He witnesses several women soliciting men, and decides to call in the paddy wagon, and get them arrested. Alas, one of the men frequenting the prostitutes is none other than Ratan's superior officer, who immediately summons Ratan, and has him removed from service on corruption charges. Nisha takes pity on a homeless and unemployed Ratan, and asks him to live with her. He does not want her to sell her body, and so he decides to work at night, and during the day he takes on the guise of a rich Nawab and spends time with her.;1974;;162;romance;IN;6.5;259.0;Suhail Tatari
tm10204;Professor;Sita devi is a very strict aunt for a number of young ladies, and does not allow them to fraternize with males. Along comes Pritam disguised as an elderly Professor Khanna to break every possible rule of the aunt;1962;;163;drama;IN;6.9;312.0;Shammi Kapoor, Kalpana Mohan, Lalita Pawar, Parveen Choudhary, Tun Tun, Iftekhar, Pratima Devi, Lekh Tandon
tm336403;Khoon Khoon;As a crazed killer blazes a trail of blood through an anxious city, a hardened cop aims to take him down by any means in this remake of Dirty Harry.;1973;;131;crime;IN;5.3;50.0;Mahendra Sandhu, Danny Denzongpa, Jagdeep, Faryal, Padma Khanna, Asit Sen, Karan Dewan, Agha, Murad, Sabina, Mohammed Hussain
tm27298;Saladin the Victorious;The first Sultan of Egypt and Syria leads the Muslim military campaign against the invading Christians from Europe during the Third Crusade.;1963;;186;drama;EG;7.6;2670.0;Ahmed Mazhar, Nadia Lotfi, Salah Zulfiqar, Laila Fawzy, Hamdy Ghaith, Laila Taher, Omar El-Hariri, Hussein Reyaad, Mahmoud el-Meliguy, Zaki Toleimat, Tawfiq ElDekn, Mohamed Hamdy, Mohamed Sultan, Mohamed Abdel Gawad, Sami Lotfy, Ibrahim Emara, Salah Nazmi, Ahmed Loxer, Badr Nofal, Ehsan Sherif, Youssef Chahine
tm123318;The Other Side of the Mountain;One year before the Olympics, Jill Kinmont, an 18-year-old skiing champion, suffers a fall during competition and is left paralyzed. With her life now completely altered, she undergoes an exhausting fight to regain some of what she has lost.;1975;PG;103;drama;US;6.4;1181.0;Marilyn Hassett, Beau Bridges, Belinda Montgomery, Nan Martin, William Bryant, Dabney Coleman, Bill Vint, Hampton Fancher, William Roerick, Dori Brenner, Walter Brooke, Jocelyn Jones, Greg Mabrey, Tony Becker, Griffin Dunne, Warren Miller, Robin Pepper, Brad Savage, Larry Peerce
tm204541;Dark Waters;Ragab, a poor sailor, returns home to Alexandria after three years of absence, during which he tried to save money to marry his one true love, Hamedah. But there's trouble on the harbor, and with an old friend.;1956;;120;drama;EG;6.7;703.0;Omar Sharif, Faten Hamamah, Ahmed Ramzy, Tawfiq ElDekn, Ferdoos Mohammed, Hussein Reyaad, Aziza Helmy, Mohamed Sobeih, Reyaad ElQasabgy, Youssef Chahine
tm19608;The Blazing Sun;A rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. What he doesn't know is that his own daughter is in love with Ahmed, a young man from the village.;1954;;100;drama;EG;7.4;1219.0;Faten Hamamah, Omar Sharif, Zaki Rostom, Farid Shawqi, Abdel Warith Assir, Hamdy Ghaith, Abdel Ghani Kamar, Zaki Ibrahim, Abdel Ghani ElNagdi, Youssef Chahine
tm90896;The Return of the Prodigal Son;In this Andre Gide adaptation, an activist is released after many years in prison and returns home, shaking up established relationships among his family members at the farm governed by his strict father. Demonstrating Chahine’s eclecticism, this is an elegant melodrama, exuberant musical, layered allegory, and profound portrait of personal and political disillusionment.;1976;;124;drama;EG, DZ;7.1;863.0;Hesham Selim, Majida El Roumi, Ahmed Mehrez, Shukry Sarhan, Mahmoud el-Meliguy, Huda Sultan, Soheir ElMorshedy, Sid Ali Kouiret, Ragaa Hussein, Ali Al Sharif, Ahmed Abdel Wareth, Ahmad Bedir, Mohamed Refaat, Aaidah Riyadh, Ahmed Abdel Wareth, Youssef Chahine
tm14350;Alexandria… Why?;Amid the poverty, death, and suffering caused by World War II, 18-year-old Yehia, retreats into a private world of fantasy and longing. Obsessed with Hollywood, he dreams of one-day studying filmmaking in America, but after falling in love and discovering the lies of European occupation, Yehia profoundly reevaluates his identity and allegiances.;1980;;133;drama;EG, DZ;7.3;1859.0;Mohsen Mohey ElDein, Mahmoud el-Meliguy, Mohsena Tawfiq, Abd Allah Mahmoud, Ahmed Zaki, Naglaa Fathy, Farid Shawqi, Laila Hamada, Zeinab Sedky, Ezzat Al Alaily, Abdel Aziz Makhyoun, Saif Abdel Rahman, Ahmad Bedir, Ahmed Mehrez, Gerry Sundquist, Youssef Wahby, Yahia Shaheen, Laila Fawzy, Abdel Warith Assir, Abdel Salam Mohamed, Akela Kateb, Ahmed Abdel Wareth, Aida Kamel, Oussaida Abbas, Zouzou Hamdy ElHakim, Samira Mohamed, Gamil ElTraboulsi, Hassan Hussein, Bahir Bauk, Amira Cherif, Ali Ezz ElDein, Anan Gemayel, Antic Melkior, John Rodenbeck, Rosemary Sabey, Ahmed Salama, Magdy Saif, Vary Vahram, Naima ElSoghier, Ali Johar, Mohamed Abu Hasheesh, Youssef Chahine, Youssef Chahine
tm123613;Salaakhen;Separated by tragedy, two virtually inseparable childhood friends meet again, only to fall in love this time.;1975;;133;thriller;IN;5.8;78.0;Shashi Kapoor, Sulakshana Pandit, Amrish Puri, A.K. Hangal, Mehmood, Goga Kapoor, Anjana Mumtaz, Ramesh Deo, Mac Mohan, Shammi Kapoor, Keshto Mukherjee, A. Salaam
tm81728;The Land;Set in 1933, the mayor informs the peasants that the share of irrigation of their land will be split equally between them and feudal lord Mahmoud Bey. The peasants send Muhammad Effendi to submit a petition to the government. Then Mahmoud Bey proposes a project that would require taking part of the peasants' lands.;1970;;129;drama;EG;8.0;2189.0;Mahmoud el-Meliguy, Nagwa Ibrahim, Ezzat Al Alaily, Yahia Shaheen, Hamdy Ahmed, Tawfiq ElDekn, Salah El-Saadany, Ali Al Sharif, Abdel Warith Assir, Abdel Rahman ElKhamesy, Ashraf ElSelehdar, Hussein Ismail, Fatma Imara\u200f, Abdel Mohsen Selim, Mahmoud ElIraqi, Fayza Abdel Gawwad, Nabila El Sayed, Helmy Hilaly, Mohamed ElSaqqa, Ibrahim ElShamy, Ali ElMoaawen, Youssef Chahine
tm321219;Elaan;Naresh Kumar Saxena lives with his widowed mom and sister, Seema. He works as a freelance photographer and journalist. One day he meets with Mala Mehta and her dad, who is the Editor of a Newspaper. Mr. Mehta hires Naresh and assigns him to go to a remote island to investigate and expose some illegal activities there. Naresh goes there in the company of his friend, Shyam. Unfortunately, Naresh is caught by the island guards and lodged in a cell along with two others, one a scientist and Ram Singh, a hoodlum. The scientist confides in Naresh that he has invented an atomic ring that when inserted in someone's mouth will turn that person invisible, and subsequently passes away. Naresh puts the ring in his mouth, takes off his clothes, turns invisible and escapes.;1971;;142;action;IN;5.8;81.0;Vinod Mehra, Rekha, Vinod Khanna, Helen, Madan Puri, K. Ramanlal
tm259684;Whispers;At every station, between sites filled with poetry and nostalgia for a bygone era, the poet's dashed dreams and idealized vision of her country coincide with the director's own.;1980;;93;documentation;CA, FR, LB;7.8;80.0;Nadia Tueni, Maroun Bagdadi
tm344089;Lal Patthar;Raja Kumar Bahadur alias Gyan Shankar Rai has been a total abstainer all his life, never touching a drop of alcohol, and keeping away from women and all known vices all his life. Then one day he sees a young woman named Saudamani, and instantly falls in love with her. He finds out about her background, and virtually buys her, and brings her to his palatial home. This is when he takes to drinking, and wooing her, and renaming her Madhuri, but refrains from marrying her. Years later, he sees another beautiful woman, about half his age, named Sumita, meets with her parents, pays off their debts, and marries her in the bargain.;1971;;153;drama;IN;6.1;147.0;Raaj Kumar, Hema Malini, Rakhee Gulzar, Vinod Mehra, Paintal, Asit Sen, Dulari, Leela Mishra, Sadhana Khote, Satyendra Kapoor, D.K. Sapru, Padma Khanna, Miss Shefali
tm1217553;Top Gun;For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.;1986;PG;110;drama;US;6.9;465070.0;Tom Cruise, Kelly McGillis, Val Kilmer, Anthony Edwards, Tom Skerritt, Michael Ironside, John Stockwell, Barry Tubb, Rick Rossovich, Tim Robbins, Clarence Gilyard Jr., Whip Hubley, James Tolkan, Meg Ryan, Adrian Pasdar, Randall Brady, Duke Stroud, Ron Clark, Frank Pesce, Pete Pettigrew, Troy Hunter, T.J. Cassidy, Tony Scott
tm140433;Road House;The Double Deuce is the meanest, loudest and rowdiest bar south of the Mason-Dixon Line, and Dalton has been hired to clean it up. He might not look like much, but the Ph.D.-educated bouncer proves he's more than capable -- busting the heads of troublemakers and turning the roadhouse into a jumping hot-spot. But Dalton's romance with the gorgeous Dr. Clay puts him on the bad side of cutthroat local big shot Brad Wesley.;1989;R;114;action;US;6.7;78096.0;"Patrick Swayze, Kelly Lynch, Sam Elliott, Ben Gazzara, Marshall R. Teague, Julie Michaels, Red West, Sunshine Parker, Kevin Tighe, John Doe, Kathleen Wilhoite, Travis McKenna, Roger Hewlett, Bob Jennings, Kym Malin, Jeff Healey, Gary Hudson, Joe Unger, Sheila Ryan, Keith David, Patricia Tallman, Heidi Paine, Jacklyn Palmer, Laura Albert, Christina Veronica, Jasae, Michele Burger, Terry Funk, Susan Lentini, Cheryl Baker, Dawn Ciccone, Benny Urquidez, Julie Royer, Tiny Ron Taylor, ""Chino Fats Williams"", Christopher Collins, Michael Rider, John William Young, Rowdy Herrington"
tm131198;Rocky IV;Rocky Balboa proudly holds the world heavyweight boxing championship, but a new challenger has stepped forward: Drago, a six-foot-four, 261-pound fighter who has the backing of the Soviet Union.;1985;PG-13;91;drama;US;6.8;211725.0;"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Dolph Lundgren, Brigitte Nielsen, Tony Burton, Michael Pataki, Stu Nahan, Al Bandiero, Dominic Barto, Danial Brown, James Brown, Rose Mary Campos, Jack Carpenter, Mark De Alessandro, Marty Denkin, Lou Fillipo, ""James Cannonball Green"", Dean Hammond, Sergei Levin, Tony Maffatone, Sylvia Meals, Dwayne McGee, LeRoy Neiman, George Pipasik, George Rogan, Barry Tompkins, Warner Wolf, Robert Doornick, Richard Blum, Gerald Berns, Ray Glanzmann, Patrick Pankhurst, Jean Thoreau, ""Frank DAnnibale"", Rose Dursey, Richard A. Kelley, Craig Schaefer, Jeff Austin, Leslie Morris, Bob Giovane, George Spaventa, Rolf Williams, Jim Hodges, R.J. Adams, Sylvester Stallone"
tm120386;Labyrinth;When teen Sarah is forced to babysit Toby, her baby stepbrother, she summons Jareth the Goblin King to take him away. When he is actually kidnapped, Sarah is given just thirteen hours to solve a labyrinth and rescue him.;1986;PG;101;fantasy;US, GB;7.3;141134.0;David Bowie, Jennifer Connelly, Toby Froud, Shelley Thompson, Christopher Malcolm, Natalie Finland, Shari Weiser, Brian Henson, Ron Mueck, Rob Mills, Dave Goelz, David Alan Barclay, David Shaughnessy, Karen Prell, Timothy Bateson, Frank Oz, Michael Hordern, Denise Bryer, Steve Whitmire, Kevin Clash, Anthony Asbury, Anthony Jackson, Douglas Blackwell, David Healy, Robert Beatty, Toby Philpott, Ian Thom, Charles Augins, Sherry Amott, Danny John-Jules, Cheryl Henson, Kaefan Shaw, Rollin Krewson, Richard Bodkin, Percy Edwards, Michael Attwell, Sean Barrett, John Bluthal, Peter Marinker, Kerry Shale, Marc Antona, Kenny Baker, Danny Blackner, Peter Burroughs, Toby Denver Clark, Tessa Crockett, Warwick Davis, Malcolm Dixon, Anthony Georghiou, Paul Grant, John Key, Andrew Herd, Richard Jones, Jack Purvis, Mark Lisle, Peter Mandell, Linda Spriggs, Katie Purvis, Nicholas Read, Albert Wilkinson, Penny Stead, Michael Henbury Ballan, Elfrida Ashworth, Margaret Foyer, Elizabeth A. Gilbert, Louise Gold, San Lee, Janis Mackintosh, Penny Marsden, Kim Mendez, Wendy Millward, Caroline Pope, Sharon White, John Aron, Terry Dane, Derek Hartley, Douglas Howes, Christopher Preston, Peter Sim, Graeme Sneddon, Graham Tudor-Phillips, David Turner, Barrie J. Wilkinson, Jim Henson, Jim Henson
tm48779;Rocky III;Now the world champion, Rocky Balboa is living in luxury and only fighting opponents who pose no threat to him in the ring, until Clubber Lang challenges him to a bout. After taking a pounding from Lang, the humbled champ turns to former bitter rival Apollo Creed for a rematch with Lang.;1982;PG;95;drama;US;6.8;197284.0;"Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers, Mr. T, Burgess Meredith, Tony Burton, Hulk Hogan, Ian Fried, Al Silvani, Wally Taylor, Jim Hill, Don Sherman, Dennis James, Jim Healy, Ray Gedeon, Gene Crane, Stu Nahan, Bill Baldwin, Jimmy Lennon Sr., Marty Denkin, John David Morris, Lou Fillipo, Jeff Temkin, Mario Machado, Tony Hernández, Frank Stallone, Philmore Berger, Big Yank, François André, Eddie Smith, ""Chino Fats Williams"", LeRoy Neiman, Bob Minor, Clifford Strong, Julius LeFlore, Jason Felice, Tony Brubaker, Rex Pierson, Ray Notaro Jr., Charles A. Tamburro, Carey Lindley, Jophery C. Brown, Gilbert B. Combs, David Cadiente, Roger Braxton, J.D. Smith, Tom Lupo, Melvin Jones, Alex Brown, David R. Ellis, Clarke Coleman, Billy Hank Hooker, Mickey Gilbert, Fred Waugh, Sylvester Stallone"
tm125473;Fletch;"When investigative reporter Irwin ""Fletch"" Fletcher goes undercover to write a piece on the drug trade at a local beach, he's approached by wealthy businessman Alan Stanwyk, who offers him $50,000 to murder him. With sarcastic wit and a knack for disguises, Fletch sets out to uncover Stanwyk's story.";1985;PG;98;comedy;US;6.9;54766.0;Chevy Chase, Joe Don Baker, Dana Wheeler-Nicholson, Richard Libertini, Tim Matheson, M. Emmet Walsh, Geena Davis, George Wendt, Kenneth Mars, Bill Henderson, William Traylor, George Wyner, Tony Longo, Larry Jenkins, Ralph Seymour, Kareem Abdul-Jabbar, William Sanderson, Beau Starr, James Avery, Peggy Doyle, David W. Harper, Burton Gilliam, Chick Hearn, Alison La Placa, William Sanderson, Merv Maruyama, Michael Ritchie
